,Unnamed: 0,userId,movieId,rating,movie_idx
298025,298025,2038,1215,4.0,1191
298026,298026,2038,1242,4.5,1216
298027,298027,2038,1375,2.0,1346
298028,298028,2038,1408,4.0,1377
298029,298029,2038,1597,4.5,1547
298030,298030,2038,1690,3.5,1635
298031,298031,2038,1747,4.0,1685
298032,298032,2038,1876,0.5,1794
298033,298033,2038,1909,4.5,1827
298034,298034,2038,2770,1.5,2686
128961,128961,873,1278,3.0,1252
128962,128962,873,1358,2.5,1330
128963,128963,873,1625,1.5,1573
128964,128964,873,2302,2.0,2219
128965,128965,873,2353,2.0,2270
128966,128966,873,2699,2.0,2615
128967,128967,873,2712,3.0,2628
128968,128968,873,3176,1.0,3091
128969,128969,873,3471,1.0,3384
128970,128970,873,33794,2.0,10227
125452,125452,848,141,4.0,141
125453,125453,848,637,2.0,632
125454,125454,848,707,3.0,697
125455,125455,848,711,3.0,701
125456,125456,848,733,5.0,723
125457,125457,848,736,3.0,726
125458,125458,848,745,4.0,734
125459,125459,848,780,3.0,769
125460,125460,848,1073,3.0,1054
125461,125461,848,1399,5.0,1370
5184,5184,51,380,4.0,378
5185,5185,51,410,4.0,408
5186,5186,51,435,3.0,433
5187,5187,51,454,4.0,452
5188,5188,51,457,4.0,455
5189,5189,51,480,5.0,478
5190,5190,51,588,3.0,584
5191,5191,51,590,3.0,586
5192,5192,51,592,2.0,588
5193,5193,51,593,2.0,589
92593,92593,643,1059,4.0,1041
92594,92594,643,1569,4.0,1520
92595,92595,643,2080,0.5,1998
92596,92596,643,2100,0.5,2018
92597,92597,643,2105,0.5,2023
92598,92598,643,2161,4.5,2079
92599,92599,643,2294,5.0,2211
92600,92600,643,2763,0.5,2679
92601,92601,643,2890,3.0,2806
92602,92602,643,3418,2.0,3331
259419,259419,1787,1967,4.0,1885
259420,259420,1787,2105,3.0,2023
259421,259421,1787,2140,2.5,2058
259422,259422,1787,2278,4.0,2195
259423,259423,1787,2641,3.0,2558
259424,259424,1787,2763,4.5,2679
259425,259425,1787,2968,3.0,2884
259426,259426,1787,3101,3.0,3016
259427,259427,1787,4018,3.0,3926
259428,259428,1787,66934,5.0,13576
4315,4315,38,608,4.0,604
4316,4316,38,648,4.0,642
